valuta,leto,mesec,menjalni_tecaj
AUD,2016,1,1.54629
AUD,2016,2,1.557452
AUD,2016,3,1.484574
AUD,2016,4,1.479791
AUD,2016,5,1.544764
AUD,2016,6,1.52005
AUD,2016,7,1.470328
AUD,2016,8,1.469515
AUD,2016,9,1.478754
AUD,2016,10,1.449749
AUD,2016,11,1.434336
AUD,2016,12,1.4357
AUD,2017,1,1.427234
AUD,2017,2,1.389636
AUD,2017,3,1.402751
AUD,2017,4,1.419055
AUD,2017,5,1.48624
AUD,2017,6,1.487717
AUD,2017,7,1.478587
AUD,2017,8,1.49258
AUD,2017,9,1.494563
AUD,2017,10,1.508015
AUD,2017,11,1.538774
AUD,2017,12,1.5487
AUD,2018,1,1.533472
AUD,2018,2,1.568239
AUD,2018,3,1.589202
AUD,2018,4,1.598447
AUD,2018,5,1.571905
AUD,2018,6,1.557554
AUD,2018,7,1.578859
AUD,2018,8,1.573678
AUD,2018,9,1.619001
AUD,2018,10,1.618374
AUD,2018,11,1.569425
AUD,2018,12,1.586683
AUD,2019,1,1.597788
AUD,2019,2,1.587329
AUD,2019,3,1.596131
AUD,2019,4,1.5792
AUD,2019,5,1.610731
AUD,2019,6,1.625982
AUD,2019,7,1.606554
AUD,2019,8,1.644524
AUD,2019,9,1.619118
AUD,2019,10,1.626469
AUD,2019,11,1.618582
AUD,2019,12,1.614211
AUD,2020,1,1.615535
AUD,2020,2,1.637327
AUD,2020,3,1.780947
AUD,2020,4,1.72914
AUD,2020,5,1.678094
AUD,2020,6,1.633487
AUD,2020,7,1.630063
AUD,2020,8,1.643235
AUD,2020,9,1.630877
AUD,2020,10,1.650069
AUD,2020,11,1.628483
AUD,2020,12,1.615843
AUD,2021,1,1.576813
AUD,2021,2,1.560399
AUD,2021,3,1.545152
AUD,2021,4,1.553831
AUD,2021,5,1.564604
AUD,2021,6,1.575946
AUD,2021,7,1.591787
AUD,2021,8,1.612371
AUD,2021,9,1.608305
AUD,2021,10,1.569039
AUD,2021,11,1.562046
AUD,2021,12,1.58121
AUD,2022,1,1.57765
AUD,2022,2,1.585087
AUD,2022,3,1.492888
AUD,2022,4,1.469221
AUD,2022,5,1.499169
AUD,2022,6,1.503487
AUD,2022,7,1.487256
AUD,2022,8,1.455425
AUD,2022,9,1.480473
AUD,2022,10,1.546035
AUD,2022,11,1.545858
AUD,2022,12,1.568053
AUD,2023,1,1.551764
AUD,2023,2,1.553145
AUD,2023,3,1.602746
AUD,2023,4,1.641113
AUD,2023,5,1.638083
AUD,2023,6,1.614435
AUD,2023,7,1.643162
AUD,2023,8,1.682628
AUD,2023,9,1.663499
AUD,2023,10,1.663969
AUD,2023,11,1.665392
AUD,2023,12,1.630408
AUD,2024,1,1.641181
AUD,2024,2,1.653318
AUD,2024,3,1.658136
AUD,2024,4,1.648298
AUD,2024,5,1.631717
AUD,2024,6,1.620976
AUD,2024,7,1.624561
AUD,2024,8,1.657416
AUD,2024,9,1.641575
AUD,2024,10,1.624146
AUD,2024,11,1.62799
AUD,2024,12,1.654322
AUD,2025,1,1.662776
AUD,2025,2,1.652759
AUD,2025,3,1.713898
AUD,2025,4,1.786686
AUD,2025,5,1.752006
AUD,2025,6,1.773196
AUD,2025,7,1.786988
AUD,2025,8,1.793072
AUD,2025,9,1.780185
AUD,2025,10,1.781009
AUD,2025,11,1.776928
AUD,2025,12,1.762742
BRL,2016,1,4.392585
BRL,2016,2,4.407694
BRL,2016,3,4.116028
BRL,2016,4,4.034305
BRL,2016,5,3.995248
BRL,2016,6,3.861761
BRL,2016,7,3.620391
BRL,2016,8,3.593788
BRL,2016,9,3.645048
BRL,2016,10,3.528117
BRL,2016,11,3.614532
BRL,2016,12,3.541449
BRL,2017,1,3.399713
BRL,2017,2,3.308105
BRL,2017,3,3.419948
BRL,2017,4,3.362057
BRL,2017,5,3.540001
BRL,2017,6,3.696218
BRL,2017,7,3.69789
BRL,2017,8,3.726779
BRL,2017,9,3.730307
BRL,2017,10,3.746594
BRL,2017,11,3.829504
BRL,2017,12,3.902255
BRL,2018,1,3.914349
BRL,2018,2,4.009741
BRL,2018,3,4.039922
BRL,2018,4,4.176149
BRL,2018,5,4.288502
BRL,2018,6,4.403002
BRL,2018,7,4.470242
BRL,2018,8,4.514944
BRL,2018,9,4.775615
BRL,2018,10,4.333778
BRL,2018,11,4.287048
BRL,2018,12,4.422776
BRL,2019,1,4.279866
BRL,2019,2,4.218886
BRL,2019,3,4.340646
BRL,2019,4,4.380321
BRL,2019,5,4.473756
BRL,2019,6,4.366948
BRL,2019,7,4.242699
BRL,2019,8,4.465692
BRL,2019,9,4.539745
BRL,2019,10,4.516144
BRL,2019,11,4.58748
BRL,2019,12,4.570547
BRL,2020,1,4.591524
BRL,2020,2,4.739706
BRL,2020,3,5.384112
BRL,2020,4,5.769856
BRL,2020,5,6.136514
BRL,2020,6,5.838874
BRL,2020,7,6.0608
BRL,2020,8,6.430165
BRL,2020,9,6.36195
BRL,2020,10,6.620594
BRL,2020,11,6.448164
BRL,2020,12,6.261334
BRL,2021,1,6.510253
BRL,2021,2,6.546074
BRL,2021,3,6.716788
BRL,2021,4,6.675552
BRL,2021,5,6.442429
BRL,2021,6,6.071291
BRL,2021,7,6.096979
BRL,2021,8,6.187322
BRL,2021,9,6.200702
BRL,2021,10,6.411114
BRL,2021,11,6.340499
BRL,2021,12,6.395199
BRL,2022,1,6.264369
BRL,2022,2,5.903407
BRL,2022,3,5.489884
BRL,2022,4,5.130944
BRL,2022,5,5.237953
BRL,2022,6,5.324419
BRL,2022,7,5.468893
BRL,2022,8,5.200564
BRL,2022,9,5.179196
BRL,2022,10,5.181221
BRL,2022,11,5.389287
BRL,2022,12,5.550385
BRL,2023,1,5.60163
BRL,2023,2,5.54217
BRL,2023,3,5.584851
BRL,2023,4,5.508313
BRL,2023,5,5.413352
BRL,2023,6,5.268016
BRL,2023,7,5.305896
BRL,2023,8,5.347855
BRL,2023,9,5.283441
BRL,2023,10,5.348801
BRL,2023,11,5.300834
BRL,2023,12,5.345925
BRL,2024,1,5.355498
BRL,2024,2,5.357921
BRL,2024,3,5.414753
BRL,2024,4,5.492283
BRL,2024,5,5.549964
BRL,2024,6,5.796158
BRL,2024,7,6.010986
BRL,2024,8,6.12015
BRL,2024,9,6.160247
BRL,2024,10,6.117743
BRL,2024,11,6.171435
BRL,2024,12,6.38839
BRL,2025,1,6.257261
BRL,2025,2,6.002165
BRL,2025,3,6.220821
BRL,2025,4,6.48896
BRL,2025,5,6.390609
BRL,2025,6,6.393575
BRL,2025,7,6.465256
BRL,2025,8,6.348653
BRL,2025,9,6.299421
BRL,2025,10,6.280095
BRL,2025,11,6.179472
BRL,2025,12,6.396172
CAD,2016,1,1.54094
CAD,2016,2,1.532067
CAD,2016,3,1.471991
CAD,2016,4,1.455977
CAD,2016,5,1.461739
CAD,2016,6,1.450009
CAD,2016,7,1.441697
CAD,2016,8,1.455986
CAD,2016,9,1.46706
CAD,2016,10,1.462102
CAD,2016,11,1.452595
CAD,2016,12,1.406682
CAD,2017,1,1.404872
CAD,2017,2,1.394443
CAD,2017,3,1.431018
CAD,2017,4,1.437596
CAD,2017,5,1.502792
CAD,2017,6,1.495956
CAD,2017,7,1.464739
CAD,2017,8,1.489621
CAD,2017,9,1.465086
CAD,2017,10,1.479358
CAD,2017,11,1.497061
CAD,2017,12,1.511406
CAD,2018,1,1.515741
CAD,2018,2,1.551349
CAD,2018,3,1.593483
CAD,2018,4,1.564866
CAD,2018,5,1.522392
CAD,2018,6,1.530984
CAD,2018,7,1.535456
CAD,2018,8,1.505281
CAD,2018,9,1.518271
CAD,2018,10,1.495972
CAD,2018,11,1.499154
CAD,2018,12,1.528797
CAD,2019,1,1.520788
CAD,2019,2,1.498456
CAD,2019,3,1.510091
CAD,2019,4,1.503013
CAD,2019,5,1.50538
CAD,2019,6,1.502511
CAD,2019,7,1.46991
CAD,2019,8,1.47695
CAD,2019,9,1.459104
CAD,2019,10,1.457752
CAD,2019,11,1.463187
CAD,2019,12,1.463455
CAD,2020,1,1.451868
CAD,2020,2,1.449696
CAD,2020,3,1.539018
CAD,2020,4,1.528306
CAD,2020,5,1.526719
CAD,2020,6,1.525918
CAD,2020,7,1.545982
CAD,2020,8,1.566988
CAD,2020,9,1.557715
CAD,2020,10,1.554454
CAD,2020,11,1.549354
CAD,2020,12,1.558717
CAD,2021,1,1.548811
CAD,2021,2,1.536136
CAD,2021,3,1.497567
CAD,2021,4,1.495375
CAD,2021,5,1.472993
CAD,2021,6,1.472409
CAD,2021,7,1.479352
CAD,2021,8,1.482967
CAD,2021,9,1.491928
CAD,2021,10,1.444403
CAD,2021,11,1.433911
CAD,2021,12,1.447545
CAD,2022,1,1.430042
CAD,2022,2,1.443655
CAD,2022,3,1.393353
CAD,2022,4,1.36715
CAD,2022,5,1.358263
CAD,2022,6,1.354634
CAD,2022,7,1.319432
CAD,2022,8,1.307563
CAD,2022,9,1.318012
CAD,2022,10,1.34851
CAD,2022,11,1.369135
CAD,2022,12,1.438755
CAD,2023,1,1.447371
CAD,2023,2,1.439621
CAD,2023,3,1.465936
CAD,2023,4,1.480787
CAD,2023,5,1.470923
CAD,2023,6,1.441078
CAD,2023,7,1.462237
CAD,2023,8,1.470456
CAD,2023,9,1.447695
CAD,2023,10,1.447688
CAD,2023,11,1.482636
CAD,2023,12,1.464666
CAD,2024,1,1.463837
CAD,2024,2,1.456058
CAD,2024,3,1.471605
CAD,2024,4,1.46641
CAD,2024,5,1.477309
CAD,2024,6,1.474954
CAD,2024,7,1.487579
CAD,2024,8,1.506149
CAD,2024,9,1.504434
CAD,2024,10,1.498777
CAD,2024,11,1.48624
CAD,2024,12,1.492934
CAD,2025,1,1.490021
CAD,2025,2,1.489517
CAD,2025,3,1.549248
CAD,2025,4,1.569364
CAD,2025,5,1.563081
CAD,2025,6,1.575718
CAD,2025,7,1.599875
CAD,2025,8,1.606968
CAD,2025,9,1.622563
CAD,2025,10,1.629633
CAD,2025,11,1.624429
CAD,2025,12,1.615446
CHF,2016,1,1.093403
CHF,2016,2,1.101376
CHF,2016,3,1.092643
CHF,2016,4,1.093084
CHF,2016,5,1.105938
CHF,2016,6,1.090194
CHF,2016,7,1.085806
CHF,2016,8,1.088213
CHF,2016,9,1.092378
CHF,2016,10,1.088143
CHF,2016,11,1.075059
CHF,2016,12,1.074736
CHF,2017,1,1.071748
CHF,2017,2,1.066206
CHF,2017,3,1.071593
CHF,2017,4,1.071982
CHF,2017,5,1.090046
CHF,2017,6,1.087033
CHF,2017,7,1.105933
CHF,2017,8,1.140511
CHF,2017,9,1.145942
CHF,2017,10,1.153503
CHF,2017,11,1.163854
CHF,2017,12,1.168157
CHF,2018,1,1.172573
CHF,2018,2,1.15366
CHF,2018,3,1.168181
CHF,2018,4,1.188241
CHF,2018,5,1.179889
CHF,2018,6,1.155722
CHF,2018,7,1.162578
CHF,2018,8,1.142129
CHF,2018,9,1.128024
CHF,2018,10,1.141959
CHF,2018,11,1.137891
CHF,2018,12,1.12878
CHF,2019,1,1.129255
CHF,2019,2,1.136602
CHF,2019,3,1.130369
CHF,2019,4,1.132237
CHF,2019,5,1.131525
CHF,2019,6,1.116542
CHF,2019,7,1.108382
CHF,2019,8,1.089901
CHF,2019,9,1.091001
CHF,2019,10,1.097763
CHF,2019,11,1.09785
CHF,2019,12,1.092717
CHF,2020,1,1.077454
CHF,2020,2,1.065293
CHF,2020,3,1.059864
CHF,2020,4,1.054764
CHF,2020,5,1.0582
CHF,2020,6,1.071781
CHF,2020,7,1.06988
CHF,2020,8,1.07657
CHF,2020,9,1.078883
CHF,2020,10,1.074297
CHF,2020,11,1.077533
CHF,2020,12,1.081372
CHF,2021,1,1.079985
CHF,2021,2,1.085636
CHF,2021,3,1.107006
CHF,2021,4,1.103903
CHF,2021,5,1.096278
CHF,2021,6,1.093477
CHF,2021,7,1.085629
CHF,2021,8,1.07608
CHF,2021,9,1.086164
CHF,2021,10,1.070978
CHF,2021,11,1.05193
CHF,2021,12,1.040562
CHF,2022,1,1.039907
CHF,2022,2,1.047112
CHF,2022,3,1.02305
CHF,2022,4,1.021797
CHF,2022,5,1.03577
CHF,2022,6,1.025839
CHF,2022,7,0.988016
CHF,2022,8,0.968655
CHF,2022,9,0.964617
CHF,2022,10,0.978331
CHF,2022,11,0.984468
CHF,2022,12,0.987519
CHF,2023,1,0.996432
CHF,2023,2,0.99158
CHF,2023,3,0.991718
CHF,2023,4,0.987542
CHF,2023,5,0.976776
CHF,2023,6,0.976056
CHF,2023,7,0.967367
CHF,2023,8,0.958539
CHF,2023,9,0.95957
CHF,2023,10,0.954888
CHF,2023,11,0.964427
CHF,2023,12,0.944309
CHF,2024,1,0.936168
CHF,2024,2,0.945807
CHF,2024,3,0.965536
CHF,2024,4,0.975499
CHF,2024,5,0.983011
CHF,2024,6,0.962854
CHF,2024,7,0.968389
CHF,2024,8,0.945547
CHF,2024,9,0.940998
CHF,2024,10,0.938656
CHF,2024,11,0.936267
CHF,2024,12,0.933856
CHF,2025,1,0.941616
CHF,2025,2,0.941449
CHF,2025,3,0.954665
CHF,2025,4,0.936849
CHF,2025,5,0.935177
CHF,2025,6,0.937963
CHF,2025,7,0.932839
CHF,2025,8,0.938402
CHF,2025,9,0.934813
CHF,2025,10,0.928671
CHF,2025,11,0.929556
CHF,2025,12,0.93299
CNY,2016,1,7.130697
CNY,2016,2,7.27591
CNY,2016,3,7.237134
CNY,2016,4,7.343875
CNY,2016,5,7.376836
CNY,2016,6,7.404236
CNY,2016,7,7.387714
CNY,2016,8,7.449226
CNY,2016,9,7.478379
CNY,2016,10,7.424699
CNY,2016,11,7.384133
CNY,2016,12,7.296744
CNY,2017,1,7.32864
CNY,2017,2,7.31885
CNY,2017,3,7.369759
CNY,2017,4,7.375416
CNY,2017,5,7.609989
CNY,2017,6,7.644003
CNY,2017,7,7.802261
CNY,2017,8,7.888274
CNY,2017,9,7.822219
CNY,2017,10,7.792624
CNY,2017,11,7.773166
CNY,2017,12,7.806164
CNY,2018,1,7.839975
CNY,2018,2,7.808135
CNY,2018,3,7.796012
CNY,2018,4,7.733027
CNY,2018,5,7.5351
CNY,2018,6,7.53954
CNY,2018,7,7.845807
CNY,2018,8,7.8991
CNY,2018,9,7.98517
CNY,2018,10,7.952165
CNY,2018,11,7.886536
CNY,2018,12,7.839751
CNY,2019,1,7.761194
CNY,2019,2,7.652778
CNY,2019,3,7.58807
CNY,2019,4,7.5433
CNY,2019,5,7.662806
CNY,2019,6,7.792153
CNY,2019,7,7.721318
CNY,2019,8,7.850639
CNY,2019,9,7.839626
CNY,2019,10,7.845901
CNY,2019,11,7.763776
CNY,2019,12,7.788746
CNY,2020,1,7.691252
CNY,2020,2,7.63608
CNY,2020,3,7.772722
CNY,2020,4,7.688124
CNY,2020,5,7.753108
CNY,2020,6,7.970795
CNY,2020,7,8.023829
CNY,2020,8,8.200393
CNY,2020,9,8.038428
CNY,2020,10,7.917523
CNY,2020,11,7.820213
CNY,2020,12,7.957168
CNY,2021,1,7.883512
CNY,2021,2,7.81781
CNY,2021,3,7.752726
CNY,2021,4,7.800003
CNY,2021,5,7.80932
CNY,2021,6,7.737389
CNY,2021,7,7.658965
CNY,2021,8,7.62615
CNY,2021,9,7.606113
CNY,2021,10,7.450887
CNY,2021,11,7.292656
CNY,2021,12,7.201201
CNY,2022,1,7.197874
CNY,2022,2,7.195735
CNY,2022,3,6.985231
CNY,2022,4,6.953073
CNY,2022,5,7.076905
CNY,2022,6,7.078291
CNY,2022,7,6.867735
CNY,2022,8,6.879642
CNY,2022,9,6.942921
CNY,2022,10,7.061433
