leto,mesec,cena_zlata
2016,1,1097.64
2016,2,1201.4
2016,3,1244.88
2016,4,1242.54
2016,5,1259.59
2016,6,1276.75
2016,7,1337.21
2016,8,1337.96
2016,9,1325.11
2016,10,1263.98
2016,11,1235.96
2016,12,1151.4
2017,1,1193.19
2017,2,1234.54
2017,3,1230.38
2017,4,1268.65
2017,5,1243.76
2017,6,1260.06
2017,7,1235.96
2017,8,1283.8
2017,9,1313.94
2017,10,1279.25
2017,11,1280.69
2017,12,1265.57
2018,1,1330.67
2018,2,1330.06
2018,3,1324.24
2018,4,1335.34
2018,5,1302.62
2018,6,1280.02
2018,7,1236.02
2018,8,1199.95
2018,9,1196.71
2018,10,1213.97
2018,11,1219.24
2018,12,1253.05
2019,1,1290.86
2019,2,1318.45
2019,3,1298.53
2019,4,1284.79
2019,5,1283.37
2019,6,1359.67
2019,7,1413.3
2019,8,1502.04
2019,9,1507.42
2019,10,1493.33
2019,11,1470.0
2019,12,1480.85
2020,1,1559.93
2020,2,1595.62
2020,3,1594.65
2020,4,1694.98
2020,5,1718.69
2020,6,1735.92
2020,7,1847.54
2020,8,1966.24
2020,9,1920.28
2020,10,1900.25
2020,11,1866.08
2020,12,1859.3
2021,1,1865.18
2021,2,1805.53
2021,3,1719.52
2021,4,1759.76
2021,5,1850.64
2021,6,1834.12
2021,7,1805.5
2021,8,1785.23
2021,9,1775.9
2021,10,1776.4
2021,11,1819.5
2021,12,1791.05
2022,1,1816.64
2022,2,1857.74
2022,3,1950.67
2022,4,1933.93
2022,5,1845.94
2022,6,1834.55
2022,7,1729.8
2022,8,1762.48
2022,9,1678.61
2022,10,1665.84
2022,11,1726.05
2022,12,1797.11
2023,1,1899.83
2023,2,1853.24
2023,3,1912.96
2023,4,2001.05
2023,5,1993.42
2023,6,1941.65
2023,7,1950.77
2023,8,1917.56
2023,9,1912.41
2023,10,1915.57
2023,11,1985.37
2023,12,2031.67
2024,1,2028.04
2024,2,2025.22
2024,3,2161.87
2024,4,2332.59
2024,5,2349.63
2024,6,2326.08
2024,7,2393.34
2024,8,2467.25
2024,9,2572.87
2024,10,2688.9
2024,11,2649.82
2024,12,2643.58
2025,1,2722.95
2025,2,2897.12
2025,3,2986.41
2025,4,3211.15
2025,5,3280.74
2025,6,3350.94
2025,7,3341.81
2025,8,3372.74
2025,9,3682.3
2025,10,4044.37
2025,11,4082.12
2025,12,4311.06
